path,type,risk,action,lines
DECISIONS.md,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
README.md,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
data/README.md,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
demo/.env.example,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
demo/api_client.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
demo/config.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
demo/README.md,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
demo/workflow.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
docs/methodology.md,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
docs/source_manifest.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/lora_v2.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/lora_v2_final_judge.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/lora_v2_production_decode.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/validate_release.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E01_lr5e-5_run3.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E02_lr1e-4_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E03_lr2e-4_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E04_rank8_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E05_rank32_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E06_batch4_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/reproduction/E07_batch16_run1.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/common.yaml,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments.csv,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiment_manifest.schema.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/final_test_authorization.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/protocol.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/smoke_success_manifest.schema.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E00.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E01.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E02.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E03.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E04.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E05.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E06.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E07.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
configs/training/lora_v2/experiments/E08.json,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
experiments/lightweight/reference/lfm25_architecture_qad_20260907/scripts/aggregate.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
experiments/lightweight/reference/lfm25_architecture_qad_20260907/scripts/run_editorial.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
experiments/lightweight/reference/lfm25_architecture_qad_20260907/scripts/run_generation.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
experiments/lightweight/reference/same_source_system_q4_q6_q8_20260907/round2_judge/run_round2.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
results/lora/batch.csv,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
results/lora/lr.csv,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
results/lora/rank.csv,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/diagnostics/auto_lora_recovery.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
scripts/diagnostics/closed_loop_editorial_eval.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/crawler/groupnews_client.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/dataset/event_grouping.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/dataset/sft_v2_complete_build.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/autonomous_sft.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/event_group_split.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/full_silver_production.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/high_semantic_pilot.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/reviewer_taxonomy.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/semantic_provider.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/silver_production_lean_v2.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/task011d/silver_production_pilot.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/training/lora_v2.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
src/training/sft_dataset_access.py,credential_related_code_or_documentation,informational,"identifiers, empty placeholders, validation patterns or runtime variables; no credential value detected",
